ключ,где на сайте,русский,узбекский,исправление
mock.report.main_path.main_path.routes.0.requirements.1,Тестовый режим ИИ — образец полного отчёта,20 часов в неделю,Haftasiga 20 soat,
mock.report.main_path.main_path.routes.0.outcome,Тестовый режим ИИ — образец полного отчёта,"Портфолио из 4–6 работ, первые клиенты в Узбекистане и доход ориентировочно 1–4 млн сум в месяц","4–6 ta ishdan iborat portfolio, Oʻzbekistondagi birinchi mijozlar va oyiga taxminan 1–4 mln soʻm daromad",
mock.report.main_path.main_path.routes.0.effort_level,Тестовый режим ИИ — образец полного отчёта,easy,easy,
mock.report.main_path.main_path.routes.0.tradeoff_note,Тестовый режим ИИ — образец полного отчёта,"Лёгкий путь почти ничего не стоит, но потолок у местного рынка ниже: чтобы выйти на $1500–2000, всё равно понадобится шаг к зарубежным клиентам.","Oson yoʻl deyarli pul talab qilmaydi, lekin mahalliy bozorda daromad chegarasi pastroq: $1500–2000 ga chiqish uchun baribir xorijiy mijozlar tomon qadam qoʻyishga toʻgʻri keladi.",
mock.report.main_path.main_path.routes.1.type,Тестовый режим ИИ — образец полного отчёта,online,online,
mock.report.main_path.main_path.routes.1.title,Тестовый режим ИИ — образец полного отчёта,Онлайн для занятых: системный курс и зарубежные площадки,Band odamlar uchun onlayn: tizimli kurs va xorijiy saytlar,
mock.report.main_path.main_path.routes.1.steps.0,Тестовый режим ИИ — образец полного отчёта,Месяцы 1–6: структурированная онлайн-программа по UX/UI с проверкой работ наставником (международные платформы или сильные онлайн-школы на русском) — 12–15 часов в неделю,1–6-oylar: ishlaringizni ustoz tekshirib boradigan tizimli onlayn kurs (xalqaro platformalar yoki kuchli onlayn maktablar) — haftasiga 12–15 soat,
mock.report.main_path.main_path.routes.1.steps.1,Тестовый режим ИИ — образец полного отчёта,"Месяцы 3–9: английский до уровня B1–B2 с преподавателем онлайн, 2 занятия в неделю","3–9-oylar: onlayn oʻqituvchi bilan ingliz tilini B1–B2 darajagacha koʻtarish, haftasiga 2 ta dars",
mock.report.main_path.main_path.routes.1.steps.2,Тестовый режим ИИ — образец полного отчёта,"Месяцы 6–10: кейсы для портфолио на английском, профиль на Behance и Dribbble","6–10-oylar: portfolio uchun ingliz tilida ish tavsiflari, Behance va Dribbble saytlarida profil",
mock.report.main_path.main_path.routes.1.steps.3,Тестовый режим ИИ — образец полного отчёта,"Месяцы 9–14: профиль на международных фриланс-площадках, 10–15 откликов в неделю, первые отзывы даже по невысокой ставке","9–14-oylar: xalqaro frilans saytlarida profil, haftasiga 10–15 ta taklif yuborish, narx past boʻlsa ham birinchi ijobiy fikrlarni yigʻish",
mock.report.main_path.main_path.routes.1.steps.4,Тестовый режим ИИ — образец полного отчёта,"Месяцы 14–24: повышение ставки после каждых 3–5 успешных проектов, постоянные клиенты","14–24-oylar: har 3–5 ta muvaffaqiyatli loyihadan keyin narxni oshirish, doimiy mijozlar orttirish",
mock.report.main_path.main_path.routes.1.time_estimate,Тестовый режим ИИ — образец полного отчёта,ориентировочно 12–24 месяца до дохода $1500–2000 в месяц,taxminan 12–24 oy — oyiga $1500–2000 daromadgacha,
mock.report.main_path.main_path.routes.1.cost_range,Тестовый режим ИИ — образец полного отчёта,ориентировочно $300–900 за курс и $40–100 в месяц на английский,taxminan kurs uchun $300–900 va ingliz tili uchun oyiga $40–100,
